Campaign,CWSAC Reference #,Date(s),Description,Estimated Casualties,Forces Engaged,Location,Other Names,Preservation Priority,Principal Commanders,Result(s),"

On April 30, Confederate Brig. Gen. Nathan Bedford Forrests brigade caught
up with Streights expedition and attacked its rearguard at Days Gap on
Sand Mountain. The Federals repulsed this attack and continued their march
to avoid further delay and envelopment. Thus began a running series of
skirmishes and engagements at Crooked Creek (April 30), Hog Mountain (April
30), Blountsville (May 1), Black Creek/Gadsden (May 2), and Blounts Plantation (May 2). Forrest finally surrounded the exhausted Union soldiers near Rome, Georgia, where he forced their surrender on May 3.

", ,"
CWSAC Reference #","
Preservation Priority","
Result(s)","
Results(s)","

Location","

Date(s)","

Campaign",Battles Associated with the Operations,"   

Sherman first found Johnston's army entrenched in the Marietta area on June 9.  The Confederate's had established defensive lines along Brushy, Pine, and Lost Mountains.  Sherman extended his forces beyond the Confederate lines, causing a partial Rebel withdrawal to another line of positions. After further pressure and skirmishing from Union forces, Johnston withdrew to an arc-shaped position centered on Kennesaw Mountain on June 18 and 19. Sherman made some unsuccessful attacks on this position but eventually extended the line on his right and forced Johnston to withdrawal from the Marietta area on July 2-3.


"
" Expedition against Fort Fisher (December 1864)

"," NC014

"," December 7-27, 1864

"," Maj. Gen. Benjamin Butler was relieved of command of the

Army of the James and assigned to lead an amphibious expedition against

Fort Fisher, which protected Wilmington, the Souths last open seaport

on the Atlantic coast. Learning that large numbers of Union troops had

embarked from Hampton Roads on December 13, Lee dispatched Hokes Division

to meet the expected attack on Fort Fisher. On December 24, the Union fleet

under Rear Adm. David D. Porter arrived to begin shelling the fort. An

infantry division disembarked from transports to test the forts defenses.

The Federal assault on the fort had already begun when Hoke approached,

discouraging further Union attempts. Butler called off the expedition on

December 27 and returned to Fort Monroe.


"," 320 total

"," Expeditionary Corps, Army of the James [US]; Hoke�s

Division and Fort Fisher Garrison [CS]
"," New Hanover County

"," None

"," IV.1 (Class C)
"," Rear Adm. David D. Porter and Maj. Gen. Benjamin

Butler [US]; Maj. Gen. Robert Hoke [CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations against Fort Fisher and Wilmington (January-February

1865)

"," NC015

"," January 13-15, 1865

"," After the failure of his December expedition against Fort

Fisher, Maj. Gen. Benjamin Butler was relieved of command.  Maj. Gen.

Alfred Terry was placed in command of a �Provisional Corps, including

Paine's Division of U.S. Colored Troops, and supported by a naval force

of nearly 60 vessels, to renew operations against the fort. After a preliminary

bombardment directed by Rear Adm. David D. Porter on January 13, Union

forces landed and prepared an attack on Maj. Gen. Robert Hoke's infantry

line. On the 15th, a select force moved on the fort from the rear. A valiant

attack late in the afternoon, following the bloody repulse of a naval landing

party carried the parapet. The Confederate garrison surrendered, opening

the way for a Federal thrust against Wilmington, the South's last open

seaport on the Atlantic coast.




"," 2,000 total

"," Expeditionary Corps, Army of the James [US]; Hoke's

Division and Fort Fisher Garrison [CS]

"," New Hanover County

"," None

"," IV.1 (Class A)
","  Rear Adm. David D. Porter and Maj. Gen. Alfred

Terry [US]; Gen. Braxton Bragg, Maj. Gen. Robert Hoke, and Col. Charles

Lamb [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Burnside�s North Carolina Expedition (January-July 1862)

"," NC004

","  March 23-April 26, 1862

"," In late March, Maj. Gen. Ambrose E. Burnsides army advanced

on Fort Macon, a third system casemated masonry fort that commanded the

channel to Beaufort, 35 miles southeast of New Berne. The Union force invested

the fort with siege works and, on April 26, opened an accurate fire on

the fort, which soon breached the masonry walls. Within a few hours the

forts scarp began to collapse, and the Confederates hoisted a white flag.

This action demonstrated the inadequacy of masonry forts against large-bore,

rifled artillery.

"," 490 total (US 10; CS 480)

"," Parkes Division of Department of North Carolina, 3rd

Division [US]; Fort Macon Garrison [CS]

"," Carteret County

"," None

"," III.3 (Class C)
"," Brig. Gen. John G. Parke [US]; Lt. Col. Moses

J. White [CS]
"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Goldsborough Expedition (December 1862)

"," NC009

"," December 17, 1862


"," On December 17, Fosters expedition reached the railroad

near Everettsville and began destroying the tracks north toward the Goldsborough

Bridge. Clingmans Confederate brigade delayed the advance but was unable

to prevent the destruction of the bridge. His mission accomplished, Foster

returned to New Berne where he arrived on the 20th.

"," 220 total

"," Department of North Carolina, 1st Division [US]; Clingman�s

Brigade [CS]

"," Wayne County

"," None

"," IV.2 (Class C)
"," Brig. Gen. John G. Foster [US]; Brig. Gen. Thomas

Clingman [CS]

"," Union victory
",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Blockade of the Carolina Coast (August-December 1861)
"," NC001

"," August 28-29, 1861

"," On August 26, an amphibious expedition led by Maj. Gen.

Benjamin Butler and Flag-Officer Silas Stringham, embarked from Fort Monroe

to capture Hatteras Inlet, an important haven for blockade-runners. On

the 28th, while the navy bombarded Forts Clark and Hatteras, Union troops

came ashore and attacked the rear of the Confederate batteries. On August

29, Col. William F. Martin surrendered the Confederate garrison of 670.

The Federals lost only one man. Butler returned to Fort Monroe, leaving

the captured forts garrisoned. This movement was part of Union efforts

to seize coastal enclaves from which to enforce the blockade.


"," 773 total (US 3; CS 770)

"," 9th and 20th New York regiments (est. 2,000) [US]; Hatteras

Island Garrison (900) [CS]

"," Dare County

"," Forts Clark and Hatteras

"," IV.1 (Class C)

"," Maj. Gen. Benjamin F. Butler [US]; Col. William

F. Martin [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Goldsborough Expedition (December 1862)

"," NC007

"," December 14, 1862


"," A Union expedition led by Brig. Gen. John G. Foster left

New Berne in December to disrupt the Wilmington & Weldon Railroad at

Goldsborough. The advance was stubbornly contested by Evanss Brigade near

Kinston Bridge on December 14, but the Confederates were outnumbered and

withdrew north of the Neuse River in the direction of Goldsborough. Foster

continued his movement the next day, taking the River Road, south of the

Neuse River.

"," 685 total

"," Department of North Carolina, 1st Division [US]; Evans�s

Brigade [CS]

"," Lenoir County

"," None

"," IV.2 (Class D)
"," Brig. Gen. John G. Foster [US]; Brig. Gen. Nathan

Evans [CS]

"," Union victory


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"  Campaign of the Carolinas (February-April 1865)

"," NC018

"," March 10, 1865

"," As Shermans army advanced into North Carolina, Kilpatricks

Cavalry Division screened its left flank. On the evening of March 9, two

of Kilpatricks brigades encamped near the Charles Monroe House in Cumberland

(now Hoke) County. Early on the 10th, Confederate cavalry under the command

of Lt. Gen. Wade Hampton surprised the Federals in their camps, driving

them back in confusion and capturing wagons and artillery. The Federals

regrouped and counterattacked, regaining their artillery and camps after

a desperate fight. With Union reinforcements on the way, the Confederates

withdrew.



"," 269 total (US 183; CS 86)

"," Kilpatricks Cavalry Division (1,850) [US]; Wheelers

and Hamptons Cavalry Division (3,000) [CS]


"," Hoke County

"," Fayetteville Road, Blues Farm


"," II.4 (Class D)
"," Brig. Gen. Judson Kilpatrick [US]; Maj. Gen. Joseph

Wheeler and Lt. Gen. Wade Hampton [CS]

"," Inconclusive


",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Burnside�s North Carolina Expedition (January-July 1862)

","  NC003

"," March 14, 1862

"," On March 11, Brig. Gen. Ambrose E. Burnsides command embarked

from Roanoke Island to rendezvous with Union gunboats at Hatteras Inlet

for an expedition against New Berne. On March 13, the fleet sailed up the

Neuse River and disembarked infantry on the rivers south bank to approach

the New Berne defenses. The Confederate defense was commanded by Brig.

Gen. Lawrence Branch. On March 14, John G. Fosters, Jesse Renos, and

John G. Parkes brigades attacked along the railroad and after four hours

of fighting drove the Confederates out of their fortifications. The Federals

captured nine forts and 41 heavy guns and occupied a base which they would

hold to the end of the war, in spite of several Confederate attempts to

recover the town.



"," 1,080 total

"," Expeditionary Force and Fosters, Renos, and Parkes

Brigades [US]; 5 regiments, militia [CS]
"," Craven County
"," None

"," IV.1 (Class B)
"," Brig. Gen. Ambrose E. Burnside [US]; Brig. Gen.

Lawrence OB. Branch [CS]


"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Operations against Plymouth (April-May 1864)

","  NC012

"," April 17-20, 1864

"," In a combined operation with the CSS ram Albemarle, Confederate

forces under Maj. Gen. R.F. Hoke, attacked the Federal garrison at Plymouth

on April 17. On April 19, the ram appeared in the river, sinking the Smithfield,

damaging the Miami, and driving off the other Union ships supporting the

Plymouth garrison. Confederate forces captured Fort Comfort, driving defenders

into Fort Williams. On the 20th, the garrison surrendered.

"," 2,834 total

"," Plymouth Garrison (4 infantry and artillery units) [US];

Hoke�s Division [CS]
"," Washington County

"," None

"," IV.2 (Class C)
"," Col. Henry W. Wessells [US]; Maj. Gen. R.F. Hoke

[CS]

"," Confederate victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
" Burnside�s North Carolina Expedition (January-July 1862)
"," NC002

"," February 7-8, 1862

"," On February 7, Brig. Gen. Ambrose E. Burnside landed 7,500

men on the southwestern side of Roanoke Island in an amphibious operation

launched from Fort Monroe. The next morning, supported by gunboats, the

Federals assaulted the Confederate forts on the narrow waist of the island,

driving back and out-maneuvering Brig. Gen. Henry Wises outnumbered command.

After losing less than 100 men, the Confederate commander on the field,

Col. H.M. Shaw, surrendered about 2,500 soldiers and 32 guns. Burnside

had secured an important outpost on the Atlantic Coast, tightening the

blockade.



"," 2,907 total (US 37K/214W/13M; CS 23K/58W/62M/2,500

captured)

"," 10,500 total (US 7,500; CS 3,000)

"," Dare County

"," Fort Huger

"," II.2 (Class B)
","  Brig. Gen. Ambrose E. Burnside [US]; Brig. Gen.

Henry Wise [CS]

"," Union victory

",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"  Burnside�s North Carolina Expedition (January-July 1862)

","  NC005

"," April 19, 1862

"," Learning that the Confederates were building ironclads

at Norfolk, Burnside planned an expedition to destroy the Dismal Swamp

Canal locks to prevent transfer of the ships to Albemarle Sound. He entrusted

the operation to Brig. Gen. Jesse Lee Renos command, which embarked on

transports from Roanoke Island on April 18. By midnight, the convoy reached

Elizabeth City and began disembarking troops. On the morning of April 19,

Reno marched north on the road to South Mills. At the crossroads a few

miles below South Mills, elements of Col. Ambrose Wrights command delayed

the Federals until dark. Reno abandoned the expedition and withdrew during

the night to the transports at Elizabeth City. The transports carried Renos

troops to New Berne where they arrived on April 22.




"," 150 total

"," 21st Massachusetts and 51st Pennsylvania [US]; 3rd Georgia

[CS]

"," Camden County

"," Camden

"," III.4 (Class D)
"," Brig. Gen. Jesse Lee Reno [US]; Col. Ambrose Wright

[CS]

"," Inconclusive (Federals withdrew.)



",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
